id	cluster_name	infomap	central_concept	concepticon_id	concepticon_gloss	family_frequency	language_frequency	word_frequency
80	infomap_15_LOW	15	LOW	1326	DOWN	50	277	339
81	infomap_1_GIVE	1	GIVE	2124	SMELL	33	317	397
82	infomap_22_WOUND	22	WOUND	2370	CUT NUT	5	104	107
83	infomap_21_WORM	21	WORM	843	SPIDER	100	1295	1407
84	infomap_7_SPEAK	7	SPEAK	1998	COMMAND	2	15	17
85	infomap_4_EARTH (SOIL)	4	EARTH (SOIL)	260	SAVANNA	28	80	93
86	infomap_149_APRIL	149	APRIL	2853	OCTOBER	22	179	195
87	infomap_18_END (OF SPACE)	18	END (OF SPACE)	2989	FRINGE	21	106	140
88	infomap_59_CATTLE	59	CATTLE	1007	COW	77	900	1061
89	infomap_123_PASTURE	123	PASTURE	606	GRASS	104	1346	1526
90	infomap_87_MACHINE	87	MACHINE	110	MOTOR	21	35	39
91	infomap_2_SEED	2	SEED	2045	COLUMN	3	51	51
92	infomap_6_TALL	6	TALL	2379	UP OR ABOVE	5	86	105
93	infomap_21_WORM	21	WORM	2247	CATERPILLAR	2	55	63
94	infomap_119_AT FIRST	119	AT FIRST	2915	AT FIRST	21	120	153
95	infomap_1_GIVE	1	GIVE	552	GROW UP	3	43	44
96	infomap_17_VINE	17	VINE	525	BLOOD VESSEL	60	333	416
97	infomap_16_RIVER	16	RIVER	116	LARCH	7	11	11
98	infomap_89_WOLF	89	WOLF	1386	LION	58	634	748
99	infomap_35_IMMEDIATELY	35	IMMEDIATELY	2849	JUNE	22	179	193
100	infomap_24_MOUTH	24	MOUTH	674	MOUTH	166	2433	2796
101	infomap_114_EAST	114	EAST	1877	EAST	69	720	840
102	infomap_84_SWEET POTATO	84	SWEET POTATO	407	MANIOC BREAD	7	12	12
103	infomap_14_CHILD (DESCENDANT)	14	CHILD (DESCENDANT)	1642	NIECE	56	388	543
104	infomap_27_FUR	27	FUR	213	FIN	47	291	316
105	infomap_47_NECKLACE	47	NECKLACE	1347	NAPE (OF NECK)	82	978	1080
106	infomap_1_GIVE	1	GIVE	1902	BETRAY	48	335	423
107	infomap_56_SALTY	56	SALTY	35	TAMARIND	3	65	65
108	infomap_82_SWAY	82	SWAY	2874	MOVE (ONESELF)	23	139	161
109	infomap_66_HATE	66	HATE	2821	JEALOUS	2	17	17
110	infomap_74_I	74	I	2111	YOU TWO	20	191	242
111	infomap_133_STOMACH	133	STOMACH	1874	SAUSAGE	32	231	291
112	infomap_58_MOUNTAIN	58	MOUNTAIN	2936	ELEVATION	19	100	133
113	infomap_38_HARD	38	HARD	3	BRAVE	56	372	532
114	infomap_114_EAST	114	EAST	2825	LEFT HANDED	2	12	12
115	infomap_17_VINE	17	VINE	920	GRAPE	39	457	644
116	infomap_136_STORY	136	STORY	2961	MESSAGE	19	101	118
117	infomap_1_GIVE	1	GIVE	2049	CONGEE	4	85	86
118	infomap_25_BLAME	25	BLAME	1957	GOITER	38	267	299
119	infomap_1_GIVE	1	GIVE	734	MAKE	36	314	389
120	infomap_92_SERVANT	92	SERVANT	1281	PRISON	49	337	403
121	infomap_16_RIVER	16	RIVER	1982	WHIRLPOOL	49	288	350
122	infomap_13_RED	13	RED	1231	NEW	158	2277	2627
123	infomap_1_GIVE	1	GIVE	1523	FORGET	82	956	1077
124	infomap_37_HOLE	37	HOLE	1773	GRAVE	68	618	744
125	infomap_1_GIVE	1	GIVE	268	DRIBBLE	50	285	336
126	infomap_1_GIVE	1	GIVE	833	ENDURE	19	106	140
127	infomap_22_WOUND	22	WOUND	1109	WOUND	74	575	743
128	infomap_1_GIVE	1	GIVE	1442	STAND	162	2112	2654
129	infomap_100_LIGHTNING	100	LIGHTNING	2461	WOLF-LIKE ANIMAL	2	153	167
130	infomap_86_PEPPER	86	PEPPER	919	CHILI PEPPER	59	486	528
131	infomap_9_GOOD	9	GOOD	2375	VERTICAL	2	29	30
132	infomap_154_WHISPER	154	WHISPER	55	WHISPER	59	389	451
133	infomap_122_STOCKING	122	STOCKING	329	STOCKING	46	301	393
134	infomap_76_GOAT	76	GOAT	2352	DRAGONFLY	5	106	134
135	infomap_4_EARTH (SOIL)	4	EARTH (SOIL)	762	OUTSIDE	75	764	913
136	infomap_66_HATE	66	HATE	75	DISGRACE	2	9	11
137	infomap_183_RACK (FOR STORING FOOD)	183	RACK (FOR STORING FOOD)	3176	RACK (FOR STORING FOOD)	4	51	60
138	infomap_1_GIVE	1	GIVE	3213	HIRE OR RENT	31	229	279
139	infomap_110_DAY AFTER TOMORROW	110	DAY AFTER TOMORROW	515	NEXT YEAR	4	114	125
140	infomap_1_GIVE	1	GIVE	501	LIFT	77	721	980
141	infomap_109_MEDICINE	109	MEDICINE	348	FISH POISON	36	112	127
142	infomap_1_GIVE	1	GIVE	956	FLEE	72	496	631
143	infomap_1_GIVE	1	GIVE	203	MARRY	61	443	689
144	infomap_86_PEPPER	86	PEPPER	2707	CLOG (SOMETHING)	1	18	19
145	infomap_6_TALL	6	TALL	1406	FAR	109	1559	1764
146	infomap_1_GIVE	1	GIVE	1358	ENEMY	70	591	696
147	infomap_1_GIVE	1	GIVE	1521	SEEM	58	384	490
148	infomap_176_ADULTERY	176	ADULTERY	1610	PROSTITUTE	44	274	384
149	infomap_75_PATH	75	PATH	2252	PATH	108	1072	1291
150	infomap_138_YAWN	138	YAWN	3161	CHEW BETEL	4	87	93
151	infomap_29_BAT	29	BAT	1793	BAT	80	869	953
152	infomap_68_BLADDER	68	BLADDER	5	GAZELLE	3	170	212
153	infomap_3_THAT	3	THAT	2925	HITHER (HERE TO)	21	104	125
154	infomap_52_PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	52	PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	2694	MATERNAL UNCLE (HUSBAND OF ONE'S MATERNAL AUNT)	1	63	67
155	infomap_19_CHIEFTAIN	19	CHIEFTAIN	1545	HOST	41	353	428
156	infomap_38_HARD	38	HARD	3188	MIGHTY OR POWERFUL OR STRONG	57	312	571
157	infomap_102_THROUGH	102	THROUGH	2852	SEPTEMBER	22	178	192
158	infomap_104_STRING	104	STRING	2969	RIBBON	18	101	116
159	infomap_1_GIVE	1	GIVE	1952	TORTURE	2	8	8
160	infomap_92_SERVANT	92	SERVANT	263	HERDSMAN	48	284	353
161	infomap_93_CLEVER	93	CLEVER	1310	CLEVER	60	455	638
162	infomap_1_GIVE	1	GIVE	2003	FLOW	93	988	1230
163	infomap_82_SWAY	82	SWAY	573	SWAY	18	99	121
164	infomap_8_MIND	8	MIND	1609	IDEA	46	270	452
165	infomap_1_GIVE	1	GIVE	274	KNEAD	55	458	551
166	infomap_42_HOW	42	HOW	1459	IF	71	672	919
167	infomap_1_GIVE	1	GIVE	1449	RUB	92	1112	1496
168	infomap_67_GUNPOWDER	67	GUNPOWDER	2749	UNHUSKED RICE	3	83	84
169	infomap_1_GIVE	1	GIVE	2506	LOOSE	6	131	146
170	infomap_41_TWO	41	TWO	1005	TWINS	55	463	561
171	infomap_83_TIN OR TINPLATE	83	TIN OR TINPLATE	3192	BRONZE OR COPPER	30	245	383
172	infomap_134_CIRCUMCISION	134	CIRCUMCISION	1946	INITIATION CEREMONY	11	31	37
173	infomap_1_GIVE	1	GIVE	1825	COPPER	24	336	452
174	infomap_1_GIVE	1	GIVE	2368	GARLIC	4	144	145
175	infomap_7_SPEAK	7	SPEAK	304	PREACH	45	268	335
176	infomap_1_GIVE	1	GIVE	288	FORGE	24	458	570
177	infomap_75_PATH	75	PATH	1062	LAW	42	303	422
178	infomap_24_MOUTH	24	MOUTH	2940	GATE	18	102	112
179	infomap_1_GIVE	1	GIVE	111	DRUMMING	4	75	78
180	infomap_1_GIVE	1	GIVE	1787	LOOM	40	407	458
181	infomap_18_END (OF SPACE)	18	END (OF SPACE)	1525	COAST	20	199	254
182	infomap_59_CATTLE	59	CATTLE	619	ANIMAL	76	853	1003
183	infomap_1_GIVE	1	GIVE	1139	LEOPARD	9	356	476
184	infomap_22_WOUND	22	WOUND	1907	MOLE	1	7	7
185	infomap_1_GIVE	1	GIVE	2866	DROP (SOMETHING)	65	526	703
186	infomap_40_CIRCLE	40	CIRCLE	1395	ROUND	128	1188	1361
187	infomap_83_TIN OR TINPLATE	83	TIN OR TINPLATE	1559	MONEY	77	739	855
188	infomap_41_TWO	41	TWO	417	THREE TIMES	57	300	352
189	infomap_4_EARTH (SOIL)	4	EARTH (SOIL)	901	ADOBE	36	219	243
190	infomap_100_LIGHTNING	100	LIGHTNING	441	CHICHA	15	57	63
191	infomap_27_FUR	27	FUR	794	PEN	48	408	467
192	infomap_1_GIVE	1	GIVE	2273	LEECH	4	145	156
193	infomap_1_GIVE	1	GIVE	761	COVER	74	672	909
194	infomap_110_DAY AFTER TOMORROW	110	DAY AFTER TOMORROW	1179	DAY AFTER TOMORROW	67	840	902
195	infomap_6_TALL	6	TALL	1198	MANY	138	1797	2449
196	infomap_1_GIVE	1	GIVE	1953	ABUSE	1	127	311
197	infomap_42_HOW	42	HOW	822	HOW MANY	67	937	1072
198	infomap_71_BAD	71	BAD	47	EXCRETA	2	38	40
199	infomap_148_THEN	148	THEN	2922	AT THAT TIME	20	105	133
200	infomap_154_WHISPER	154	WHISPER	1121	SECRET	48	296	383
201	infomap_1_GIVE	1	GIVE	1434	STAB	30	489	579
202	infomap_37_HOLE	37	HOLE	539	NEST	77	814	1063
203	infomap_1_GIVE	1	GIVE	138	BATHE	90	1118	1231
204	infomap_109_MEDICINE	109	MEDICINE	2516	WATER BUFFALO	3	72	75
205	infomap_1_GIVE	1	GIVE	1922	LAND (DESCEND)	45	249	336
206	infomap_25_BLAME	25	BLAME	390	PUNISHMENT	42	288	392
207	infomap_13_RED	13	RED	2452	PURPLE	2	17	27
208	infomap_107_EAR	107	EAR	1247	EAR	168	2539	2896
209	infomap_144_PHYSICIAN	144	PHYSICIAN	1104	NURSE	24	54	60
210	infomap_118_DUCK	118	DUCK	2837	SWAN	21	179	182
211	infomap_1_GIVE	1	GIVE	1433	HIT	66	599	848
212	infomap_10_SON-IN-LAW (OF MAN)	10	SON-IN-LAW (OF MAN)	306	PARENTS-IN-LAW	15	139	295
213	infomap_7_SPEAK	7	SPEAK	1626	EXPLAIN	51	428	572
214	infomap_3_THAT	3	THAT	2673	BIRD OF PARADISE	2	29	30
215	infomap_1_GIVE	1	GIVE	1324	SLIP	65	496	631
216	infomap_60_GRIEF	60	GRIEF	107	OMEN	37	255	341
217	infomap_1_GIVE	1	GIVE	1158	STEP	21	194	206
218	infomap_13_RED	13	RED	153	GREY	21	168	221
219	infomap_13_RED	13	RED	1015	SOIL	1	8	16
220	infomap_40_CIRCLE	40	CIRCLE	1754	BRACELET	51	423	469
221	infomap_1_GIVE	1	GIVE	1033	GRIND	63	615	865
222	infomap_1_GIVE	1	GIVE	1742	TRAVERSE	6	196	223
223	infomap_9_GOOD	9	GOOD	1657	TRUE	80	559	706
224	infomap_1_GIVE	1	GIVE	3250	MATERNAL UNCLE (MOTHER'S YOUNGER BROTHER)	1	16	16
225	infomap_1_GIVE	1	GIVE	2479	FEMALE YAK	1	6	7
226	infomap_60_GRIEF	60	GRIEF	1810	DANGER	52	296	356
227	infomap_28_LEG	28	LEG	186	SHIN	18	264	286
228	infomap_179_LADDER OR STAIRS	179	LADDER OR STAIRS	2689	LADDER OR STAIRS	1	18	18
229	infomap_10_SON-IN-LAW (OF MAN)	10	SON-IN-LAW (OF MAN)	1985	FATHER'S BROTHER	56	303	418
230	infomap_1_GIVE	1	GIVE	487	SHY	18	266	289
231	infomap_1_GIVE	1	GIVE	2858	STREAM (FLOW CONTINUOUSLY)	21	105	118
232	infomap_170_RINGWORM	170	RINGWORM	3172	SCABIES	4	55	61
233	infomap_25_BLAME	25	BLAME	381	BLAME	48	295	383
234	infomap_17_VINE	17	VINE	147	COCONUT TREE	12	183	189
235	infomap_56_SALTY	56	SALTY	70	BRACKISH	38	239	262
236	infomap_11_CLOTH	11	CLOTH	195	MAT	65	753	911
237	infomap_20_DARK	20	DARK	425	BE LATE	51	435	580
238	infomap_30_KNIFE	30	KNIFE	621	IRON	64	889	955
239	infomap_1_GIVE	1	GIVE	2493	BOIL	5	235	289
240	infomap_123_PASTURE	123	PASTURE	818	WILLOW	21	170	198
241	infomap_3_THAT	3	THAT	3293	YOU (HONORIFIC)	2	15	15
242	infomap_80_OTHER	80	OTHER	1577	AND	85	909	1206
243	infomap_43_YOUNGER BROTHER	43	YOUNGER BROTHER	1643	COUSIN	55	322	624
244	infomap_33_FROST	33	FROST	617	ICE	78	605	700
245	infomap_1_GIVE	1	GIVE	1123	PREGNANT	69	620	979
246	infomap_171_ANT	171	ANT	433	HOWLER MONKEY	13	52	54
247	infomap_31_HOUSE	31	HOUSE	313	AGOUTI	19	81	89
248	infomap_1_GIVE	1	GIVE	1579	BE	24	415	576
249	infomap_142_PROUD	142	PROUD	91	INSOLENT	2	10	10
250	infomap_172_ARMY	172	ARMY	656	POLICE	23	38	42
251	infomap_22_WOUND	22	WOUND	497	SCAR	62	322	401
252	infomap_27_FUR	27	FUR	628	LEAF	165	2122	2461
253	infomap_100_LIGHTNING	100	LIGHTNING	1654	LIGHTNING	86	1399	1569
254	infomap_52_PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	52	PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	2175	PATERNAL AUNT	1	48	52
255	infomap_1_GIVE	1	GIVE	1812	TRY	68	554	720
256	infomap_8_MIND	8	MIND	1023	STUMP OF TREE	1	100	110
257	infomap_25_BLAME	25	BLAME	134	FAULT	57	409	530
258	infomap_168_VULVA	168	VULVA	3033	SCARED	2	107	109
259	infomap_1_GIVE	1	GIVE	2014	GO DOWN (DESCEND)	80	855	1018
260	infomap_49_CRAB	49	CRAB	949	WATER LEECH	12	107	122
261	infomap_1_GIVE	1	GIVE	217	BETELNUT	31	586	640
262	infomap_31_HOUSE	31	HOUSE	3178	RITUAL GROUND	2	30	37
263	infomap_46_SOFT	46	SOFT	1234	SMOOTH	86	848	1028
264	infomap_49_CRAB	49	CRAB	540	PALATE	1	67	74
265	infomap_65_FISH	65	FISH	2259	FLESH	68	484	547
266	infomap_4_EARTH (SOIL)	4	EARTH (SOIL)	2980	AREA	20	102	128
267	infomap_18_END (OF SPACE)	18	END (OF SPACE)	1685	AFTER	65	450	576
268	infomap_97_LIGHT (IGNITE)	97	LIGHT (IGNITE)	1889	ARSON	30	236	262
269	infomap_81_ONE TIME	81	ONE TIME	2914	ONCE (IN THE PAST)	23	181	206
270	infomap_33_FROST	33	FROST	2463	MOON OR MONTH	1	41	41
271	infomap_130_FORBID	130	FORBID	1550	PREVENT	22	42	55
272	infomap_34_BOWL	34	BOWL	411	GOURD	60	636	862
273	infomap_45_CAT	45	CAT	3018	NATIVE CAT	3	188	252
274	infomap_93_CLEVER	93	CLEVER	2335	CUNNING	1	26	29
275	infomap_13_RED	13	RED	970	COCONUT	51	810	1140
276	infomap_105_AMOUNT	105	AMOUNT	2974	SWARM (OF BIRDS)	21	100	111
277	infomap_109_MEDICINE	109	MEDICINE	655	POISON	53	436	522
278	infomap_141_DYE	141	DYE	1613	COLOR	41	298	335
279	infomap_86_PEPPER	86	PEPPER	1821	BRUSH	36	345	378
280	infomap_1_GIVE	1	GIVE	2063	CLOSE (EYES)	3	208	490
281	infomap_36_BRIGHT	36	BRIGHT	708	SHINE	71	546	837
282	infomap_175_TWIG	175	TWIG	1531	BRANCH	47	740	822
283	infomap_41_TWO	41	TWO	2543	RAVEN	7	101	193
284	infomap_23_HOOK	23	HOOK	1805	INJECTION	20	34	44
285	infomap_40_CIRCLE	40	CIRCLE	867	GLOVE	38	284	316
286	infomap_16_RIVER	16	RIVER	3321	POND OR LAKE	1	55	55
287	infomap_23_HOOK	23	HOOK	1074	FISHHOOK	72	689	763
288	infomap_1_GIVE	1	GIVE	319	LICK	74	761	856
289	infomap_130_FORBID	130	FORBID	755	DENY	50	404	527
290	infomap_17_VINE	17	VINE	1137	TENDON	36	329	356
291	infomap_111_MILK	111	MILK	2477	YAK	2	20	22
292	infomap_131_CHURCH	131	CHURCH	1603	MOSQUE	16	66	77
293	infomap_3_THAT	3	THAT	2635	THEY TWO	2	178	192
294	infomap_65_FISH	65	FISH	2615	FLESH OR MEAT	34	600	667
295	infomap_145_PEACE	145	PEACE	1314	QUIET	70	591	886
296	infomap_61_THING	61	THING	1365	KITCHEN	3	63	71
297	infomap_66_HATE	66	HATE	40	ENVY	58	346	524
298	infomap_46_SOFT	46	SOFT	1757	TIRED	73	703	861
299	infomap_16_RIVER	16	RIVER	658	RAIN (PRECIPITATION)	96	1172	1340
300	infomap_39_BARK	39	BARK	3190	BROKEN (NOT WORKING)	24	40	51
301	infomap_23_HOOK	23	HOOK	64	PIN	45	259	312
302	infomap_1_GIVE	1	GIVE	2072	USE (VERB)	2	206	260
303	infomap_1_GIVE	1	GIVE	175	BLOW (OF WIND)	104	1230	1517
304	infomap_6_TALL	6	TALL	2548	BARREL	1	8	8
305	infomap_23_HOOK	23	HOOK	1071	HOOK	62	597	724
306	infomap_1_GIVE	1	GIVE	248	HAPPEN	18	101	118
307	infomap_19_CHIEFTAIN	19	CHIEFTAIN	815	GOVERNMENT	20	35	37
308	infomap_1_GIVE	1	GIVE	1079	FEEL	55	311	389
309	infomap_52_PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	52	PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	2173	PATERNAL UNCLE (FATHER'S OLDER BROTHER)	1	59	60
310	infomap_1_GIVE	1	GIVE	3044	BOVINE	1	49	56
311	infomap_25_BLAME	25	BLAME	1066	CRIME	18	28	41
312	infomap_1_GIVE	1	GIVE	3130	SPILL (SOMETHING)	1	16	25
313	infomap_163_MELT	163	MELT	2887	THAW (DEW)	19	104	118
314	infomap_55_BOW	55	BOW	3193	CROSSBOW	3	21	22
315	infomap_129_LOCK	129	LOCK	1472	KEY	47	441	477
316	infomap_143_ALCOHOL (FERMENTED DRINK)	143	ALCOHOL (FERMENTED DRINK)	941	MEAD	29	307	362
317	infomap_5_TREE	5	TREE	653	PLANT (VEGETATION)	51	379	446
318	infomap_71_BAD	71	BAD	419	SEVERE	18	112	134
319	infomap_1_GIVE	1	GIVE	908	DRUM	70	893	1196
320	infomap_24_MOUTH	24	MOUTH	1662	CAPE	39	291	351
321	infomap_126_NUMBER	126	NUMBER	1053	HUNTER	2	124	198
322	infomap_7_SPEAK	7	SPEAK	1115	SPEECH	62	433	531
323	infomap_69_LETTER	69	LETTER	596	POSTAGE STAMP	18	48	58
324	infomap_17_VINE	17	VINE	3062	TURNIP	9	162	216
325	infomap_1_GIVE	1	GIVE	1085	FOLLOW	63	656	943
326	infomap_88_TABLE	88	TABLE	1227	BOARD	72	617	681
327	infomap_7_SPEAK	7	SPEAK	1205	TONGUE	168	2497	2793
328	infomap_3_THAT	3	THAT	169	IT	31	73	86
329	infomap_1_GIVE	1	GIVE	2924	A LITTLE	20	167	223
330	infomap_15_LOW	15	LOW	1242	FEW	83	1063	1297
331	infomap_2_SEED	2	SEED	349	ACHIOTE	13	52	53
332	infomap_1_GIVE	1	GIVE	3287	BLOOM	3	33	33
333	infomap_1_GIVE	1	GIVE	2411	HURT (SOMEBODY)	6	29	29
334	infomap_45_CAT	45	CAT	1197	BABOON	3	181	198
335	infomap_125_WAVE	125	WAVE	259	ROUGH (OF SEA)	39	247	296
336	infomap_19_CHIEFTAIN	19	CHIEFTAIN	791	STRANGER	63	378	480
337	infomap_19_CHIEFTAIN	19	CHIEFTAIN	2977	WORKER	19	152	165
338	infomap_83_TIN OR TINPLATE	83	TIN OR TINPLATE	627	LEAD (CHEMICAL ELEMENT)	37	293	304
339	infomap_1_GIVE	1	GIVE	1999	OVERCOME	1	115	175
340	infomap_60_GRIEF	60	GRIEF	1572	SURPRISED	55	308	462
341	infomap_12_TIME	12	TIME	2246	BELL	4	98	101
342	infomap_169_CURASSOW	169	CURASSOW	315	CURASSOW	20	81	92
343	infomap_134_CIRCUMCISION	134	CIRCUMCISION	13	DECEIT	54	313	426
344	infomap_18_END (OF SPACE)	18	END (OF SPACE)	2427	FUTURE	3	25	25
345	infomap_1_GIVE	1	GIVE	642	MUSIC	20	41	48
346	infomap_5_TREE	5	TREE	2986	CAMPFIRE	20	102	112
347	infomap_57_PRICE	57	PRICE	657	PRICE	65	550	617
348	infomap_1_GIVE	1	GIVE	2502	GONG	4	102	102
349	infomap_1_GIVE	1	GIVE	884	SHARE	59	342	433
350	infomap_118_DUCK	118	DUCK	2182	LEFT HAND	15	134	167
351	infomap_39_BARK	39	BARK	629	LEATHER	70	586	856
352	infomap_68_BLADDER	68	BLADDER	771	HAT	5	136	186
353	infomap_47_NECKLACE	47	NECKLACE	1961	NECKLACE	65	421	541
354	infomap_7_SPEAK	7	SPEAK	2164	MARRY (AS MAN)	2	39	45
355	infomap_1_GIVE	1	GIVE	3072	MISPLACE	1	51	51
356	infomap_27_FUR	27	FUR	1040	HAIR	130	1732	2066
357	infomap_97_LIGHT (IGNITE)	97	LIGHT (IGNITE)	141	BURN (SOMETHING)	92	723	914
358	infomap_26_PERSON	26	PERSON	194	FAMILY	69	540	625
359	infomap_1_GIVE	1	GIVE	52	SHIVER	72	722	1074
360	infomap_32_HAND	32	HAND	1303	FINGER	101	1145	1231
361	infomap_150_FEBRUARY	150	FEBRUARY	2855	DECEMBER	22	180	191
362	infomap_1_GIVE	1	GIVE	696	STIR	22	305	723
363	infomap_1_GIVE	1	GIVE	196	DONATE	19	259	300
364	infomap_38_HARD	38	HARD	584	DIFFICULT	57	531	662
365	infomap_62_FIFTY	62	FIFTY	1715	THIRTY	27	366	377
366	infomap_165_LAUGH	165	LAUGH	2958	LAUGHTER	19	103	121
367	infomap_1_GIVE	1	GIVE	322	FIG	28	263	285
368	infomap_112_EYEBROW	112	EYEBROW	1655	BLINK	61	356	449
369	infomap_1_GIVE	1	GIVE	2705	INHALE	3	42	45
370	infomap_58_MOUNTAIN	58	MOUNTAIN	3019	SAND HILL	1	75	78
371	infomap_69_LETTER	69	LETTER	2997	COLORFUL	21	149	169
372	infomap_43_YOUNGER BROTHER	43	YOUNGER BROTHER	1761	YOUNGER SISTER	64	631	694
373	infomap_1_GIVE	1	GIVE	1703	SIX	92	1149	1207
374	infomap_152_COLLARED PECCARY	152	COLLARED PECCARY	314	CAPYBARA	18	75	78
375	infomap_16_RIVER	16	RIVER	2108	RAINING OR RAIN	75	1053	1371
376	infomap_1_GIVE	1	GIVE	3016	FIRE STICK	1	83	88
377	infomap_9_GOOD	9	GOOD	509	CERTAIN	49	359	486
378	infomap_1_GIVE	1	GIVE	748	SOW SEEDS	56	653	875
379	infomap_75_PATH	75	PATH	1068	COURT	29	236	344
380	infomap_155_BOTHER (HARASS)	155	BOTHER (HARASS)	554	HINDER	18	98	126
381	infomap_132_CORPSE	132	CORPSE	1625	DEAD	25	66	72
382	infomap_1_GIVE	1	GIVE	2374	DREAM	23	398	612
383	infomap_1_GIVE	1	GIVE	741	DRIVE	61	428	512
384	infomap_12_TIME	12	TIME	2695	SISTER-IN-LAW (OLDER BROTHER'S WIFE)	3	43	45
385	infomap_29_BAT	29	BAT	735	OWL	81	772	1010
386	infomap_38_HARD	38	HARD	2767	MEAT DISHES	1	18	19
387	infomap_1_GIVE	1	GIVE	2015	MAKE DRY	8	317	383
388	infomap_1_GIVE	1	GIVE	1411	LIE (REST)	33	443	501
389	infomap_1_GIVE	1	GIVE	1566	GUN	36	362	413
390	infomap_34_BOWL	34	BOWL	2052	BUCKET	21	180	196
391	infomap_19_CHIEFTAIN	19	CHIEFTAIN	383	MASTER	60	499	707
392	infomap_82_SWAY	82	SWAY	2871	SWING (MOVEMENT)	18	109	141
393	infomap_76_GOAT	76	GOAT	1331	SHEEP	70	863	1126
394	infomap_1_GIVE	1	GIVE	2908	GUEST OR STRANGER	6	30	30
395	infomap_1_GIVE	1	GIVE	1401	DRINK	146	1927	2278
396	infomap_17_VINE	17	VINE	2119	BOW STRING	3	310	328
397	infomap_99_WOMAN	99	WOMAN	2260	FEMALE (OF PERSON)	24	52	58
398	infomap_4_EARTH (SOIL)	4	EARTH (SOIL)	586	GARDEN	77	1109	1283
399	infomap_10_SON-IN-LAW (OF MAN)	10	SON-IN-LAW (OF MAN)	1984	MOTHER'S BROTHER	56	476	579
400	infomap_102_THROUGH	102	THROUGH	97	THROUGH	30	141	179
401	infomap_24_MOUTH	24	MOUTH	238	PRAWNS	17	42	60
402	infomap_2_SEED	2	SEED	931	MILLET	22	380	552
403	infomap_118_DUCK	118	DUCK	1360	DUCK	76	960	1121
404	infomap_152_COLLARED PECCARY	152	COLLARED PECCARY	316	PACA	20	87	91
405	infomap_50_STONE OR ROCK	50	STONE OR ROCK	3159	BURDEN STICK	2	42	48
406	infomap_74_I	74	I	137	COCA	12	44	46
407	infomap_13_RED	13	RED	1424	YELLOW	148	1878	2124
408	infomap_108_BRIDGE	108	BRIDGE	1011	BRIDGE	62	764	958
409	infomap_1_GIVE	1	GIVE	1107	GO OUT	72	555	638
410	infomap_1_GIVE	1	GIVE	142	RETURN HOME	26	79	86
411	infomap_67_GUNPOWDER	67	GUNPOWDER	1191	COOKED RICE	7	319	335
412	infomap_94_TOMORROW	94	TOMORROW	1339	MORNING	104	1320	1461
413	infomap_92_SERVANT	92	SERVANT	812	SLAVE	55	563	677
414	infomap_1_GIVE	1	GIVE	1054	SMALLPOX	3	178	191
415	infomap_1_GIVE	1	GIVE	1134	DIVORCE	46	399	503
416	infomap_61_THING	61	THING	746	SHOP	18	150	174
417	infomap_18_END (OF SPACE)	18	END (OF SPACE)	139	GUMS	51	325	414
418	infomap_53_HEAD	53	HEAD	2930	BOSS	20	103	132
419	infomap_177_WIDOWER	177	WIDOWER	1756	WIDOW	60	372	431
420	infomap_1_GIVE	1	GIVE	879	COUGH	103	1144	1275
421	infomap_47_NECKLACE	47	NECKLACE	917	ORNAMENT	45	273	381
422	infomap_79_BIRD	79	BIRD	1511	ROOSTER	65	856	1009
423	infomap_125_WAVE	125	WAVE	1026	LOW TIDE	31	172	196
424	infomap_50_STONE OR ROCK	50	STONE OR ROCK	618	PRECIPICE	65	423	655
425	infomap_1_GIVE	1	GIVE	1416	SIT	193	2324	2749
426	infomap_20_DARK	20	DARK	11	DARKNESS	68	624	971
427	infomap_1_GIVE	1	GIVE	1152	BEGET	51	284	329
428	infomap_67_GUNPOWDER	67	GUNPOWDER	885	OPPOSITE	1	26	26
429	infomap_1_GIVE	1	GIVE	2790	HIGH OR TALL	1	51	51
430	infomap_1_GIVE	1	GIVE	2717	STEEP	2	91	92
431	infomap_6_TALL	6	TALL	1265	HIGH	78	586	707
432	infomap_1_GIVE	1	GIVE	1503	SALIVA	29	746	816
433	infomap_1_GIVE	1	GIVE	1868	VISIBLE	18	97	102
434	infomap_99_WOMAN	99	WOMAN	2262	FEMALE (OF ANIMAL)	58	318	388
435	infomap_94_TOMORROW	94	TOMORROW	672	EARLY	56	502	583
436	infomap_1_GIVE	1	GIVE	2146	ROAST OR FRY	65	353	556
437	infomap_30_KNIFE	30	KNIFE	1352	KNIFE	110	1506	1804
438	infomap_76_GOAT	76	GOAT	1502	GOAT	59	876	1087
439	infomap_22_WOUND	22	WOUND	1986	DISEASE	40	351	405
440	infomap_1_GIVE	1	GIVE	2089	PAIR (CLASSIFIER)	3	52	52
441	infomap_130_FORBID	130	FORBID	83	FORBID	51	307	383
442	infomap_32_HAND	32	HAND	431	UPPER ARM	15	59	62
443	infomap_4_EARTH (SOIL)	4	EARTH (SOIL)	1006	BRICK	39	342	378
444	infomap_131_CHURCH	131	CHURCH	1045	POET	23	209	271
